id_cliente,nombre,email,genero,fecha_nacimiento,ciudad,segmento
96,Daniela Pérez Martínez,daniela.perez.martinez5@example.com,M,1980-06-01,Santa Ana,PREMIUM
100,Carlos Ortiz Morales,carlos.ortiz.morales2@correo.com,m,1997-09-23,SanSalvador,nan
104,Diego Chávez Torres,diego.chavez.torres6@seguro.sv,Masculino,1965-07-24,Sta. Ana,PYME
105,Sofía Vásquez Santos,sofia.vasquez.santos0@example.com,nan,1979-07-12,Sonsonate,Premium
106,Sofía Torres Pérez,sofia.torres.perez1@seguro.sv,femenino,1962-06-06,San Salvador,vip
112,Paula García Hernández,paula.garcia.hernandez0@mail.com,m,1984-11-03,sonsonate,Premium
128,Fernanda Castillo Castillo,fernanda.castillo.castillo2@correo.com,femenino,1954-02-17,Santa Ana,PREMIUM
133,Diego Vásquez Mendoza,diego.vasquez.mendoza0@example.com,Masculino,1965-06-25,san miguel,Regular
140,Carmen Reyes Santos,carmen.reyes.santos0@correo.com,nan,2004-09-10,LaLibertad,Regular
141,Ricardo López García,ricardo.lopez.garcia1@correo.com,Masculino,1975-04-12,San Miguel,VIP
143,Valeria Vásquez Morales,valeria.vasquez.morales3@mail.com,Mujer,1972-10-30,Sta. Ana,nan
144,Carlos García Morales,carlos.garcia.morales4@gmail.com,Female,1985-03-28,Sonsonate,Premium
146,Lucía Mendoza Martínez,lucia.mendoza.martinez6@example.com,nan,1944-01-24,la libertad,nan
163,Ana Reyes Castillo,ana.reyes.castillo2@correo.com,Fem,1990-12-09,LaLibertad,nan
165,Lucía Cruz Chávez,lucia.cruz.chavez4@example.com,Female,2007-08-16,Sonsonate,Regular
168,Andrés Ortiz Aguilar,andres.ortiz.aguilar0@correo.com,Masculino,2007-12-11,San Salvador,PYME
171,Juan Chávez Pérez,juan.chavez.perez3@gmail.com,F,1986-01-17,L. Libertad,VIP
178,Juan Morales Chávez,juan.morales.chavez3@mail.com,Fem,1961-01-08,san miguel,nan
189,Jorge Rojas Castillo,jorge.rojas.castillo0@correo.com,nan,1953-09-03,SantaAna,nan
192,Andrés Pérez Cruz,andres.perez.cruz3@mail.com,Masculino,1946-02-05,L. Libertad,VIP
193,Karla Torres Aguilar,karla.torres.aguilar4@mail.com,Hombre,1999-02-23,La Libertad,VIP
200,María Castillo Gómez,maria.castillo.gomez4@seguro.sv,m,1990-08-05,SanMiguel,Premium
205,Pedro Flores Hernández,pedro.flores.hernandez2@seguro.sv,nan,1951-11-20,Sonsonate,Pyme
207,Andrés Morales García,andres.morales.garcia4@correo.com,Mujer,2005-01-10,SantaAna,Premium
209,Ricardo García Vásquez,ricardo.garcia.vasquez6@seguro.sv,Mujer,1962-07-31,SantaAna,vip
215,Paula Torres Aguilar,paula.torres.aguilar5@gmail.com,nan,1992-03-26,SS,nan
216,Karla García Hernández,karla.garcia.hernandez6@example.com,Fem,2008-12-26,San Salvador,Pyme
217,Marta Rojas Hernández,marta.rojas.hernandez0@correo.com,Hombre,1940-12-11,Sonsonate,nan
225,Lucía Torres Morales,lucia.torres.morales1@example.com,nan,1992-08-29,Sta. Ana,nan
231,Carlos Gómez Chávez,carlos.gomez.chavez0@seguro.sv,Hombre,1990-09-30,San Salvador,vip
232,Valeria Ortiz Vásquez,valeria.ortiz.vasquez1@mail.com,nan,1988-08-17,SantaAna,vip
235,Valeria Torres Ortiz,valeria.torres.ortiz4@example.com,Female,1955-02-08,San Miguel,vip
262,Marta García Ortiz,marta.garcia.ortiz3@gmail.com,Female,2030-04-10,SantaAna,REGULAR
265,Ricardo Martínez Pérez,ricardo.martinez.perez6@mail.com,Masculino,2003-11-05,L. Libertad,PYME
266,María Santos Hernández,maria.santos.hernandez0@seguro.sv,M,1985-05-05,Sonsonate,Pyme
273,Sofía Morales Vásquez,sofia.morales.vasquez0@mail.com,Mujer,2001-07-27,San Miguel,VIP
277,Ricardo Martínez García,ricardo.martinez.garcia4@seguro.sv,Masculino,1965-02-05,Santa Ana,VIP
278,Lucía Vásquez Aguilar,lucia.vasquez.aguilar5@example.com,Mujer,1988-11-06,SanMiguel,Regular
288,Jorge Martínez Gómez,jorge.martinez.gomez1@gmail.com,Masculino,1994-01-16,SanSalvador,Premium
298,Carlos Morales Aguilar,carlos.morales.aguilar4@example.com,M,1983-11-17,la libertad,REGULAR
300,Juan Pérez Hernández,juan.perez.hernandez6@gmail.com,nan,1947-09-09,Santa Ana,VIP
302,Lucía Martínez Mendoza,lucia.martinez.mendoza1@gmail.com,m,1991-03-31,Santa Ana,PYME
305,Marta Flores Mendoza,marta.flores.mendoza4@mail.com,Mujer,1981-02-06,Sonsonate,vip
306,Andrés Pérez Pérez,andres.perez.perez5@mail.com,M,1990-10-31,SS,nan
310,Luis Castillo Chávez,luis.castillo.chavez2@example.com,nan,2009-06-10,San salvador,PYME
311,Sofía Rojas Aguilar,sofia.rojas.aguilar3@example.com,F,2008-02-20,Santa Ana,Regular
317,Ricardo Pérez Gómez,ricardo.perez.gomez2@correo.com,Female,1993-12-06,S. Miguel,Pyme
318,Lucía Vásquez Chávez,lucia.vasquez.chavez3@example.com,m,1962-08-10,Sonsonate,nan
319,José López Mendoza,jose.lopez.mendoza4@example.com,Hombre,1999-06-04,Sonso,Regular
322,Carlos Flores Rojas,carlos.flores.rojas0@mail.com,Mujer,1976-04-18,Sta. Ana,PREMIUM
323,Fernanda Aguilar Vásquez,fernanda.aguilar.vasquez1@correo.com,m,1985-07-06,Sta. Ana,vip
325,Diego Castillo Rojas,diego.castillo.rojas3@example.com,Female,2010-09-14,SanMiguel,vip
335,José Vásquez Martínez,jose.vasquez.martinez6@example.com,Hombre,1973-08-29,San Salvador,VIP
337,Luis Ramírez López,luis.ramirez.lopez1@mail.com,m,1967-01-05,San Miguel,nan
347,Andrés Chávez Martínez,andres.chavez.martinez4@example.com,F,1945-09-06,Sonsonate,PREMIUM
357,Andrés Martínez Santos,andres.martinez.santos0@seguro.sv,nan,1951-01-20,sonsonate,PYME
358,Ana Mendoza Martínez,ana.mendoza.martinez1@gmail.com,nan,1989-08-19,Santa Ana,Premium
365,Pedro Chávez Hernández,pedro.chavez.hernandez1@gmail.com,Masculino,1995-04-10,la libertad,nan
367,Karla Chávez Cruz,karla.chavez.cruz3@example.com,Mujer,1996-11-09,sonsonate,PREMIUM
380,Karla García Santos,karla.garcia.santos2@mail.com,femenino,1944-01-31,SS,Regular
385,Valeria Ramírez Hernández,valeria.ramirez.hernandez0@gmail.com,F,1956-04-08,La Libertad,vip
396,Ricardo Chávez Martínez,ricardo.chavez.martinez4@example.com,M,1943-07-31,S. Miguel,nan
405,María Cruz Morales,maria.cruz.morales6@mail.com,Masculino,1974-07-31,Sonsonate,Premium
406,Karla Hernández Gómez,karla.hernandez.gomez0@gmail.com,F,1982-09-10,Sonsonate,vip
408,Andrés Cruz Aguilar,andres.cruz.aguilar2@example.com,Mujer,2010-11-01,SanSalvador,Premium
421,María Mendoza Castillo,maria.mendoza.castillo1@gmail.com,Female,1970-07-02,Sonso,PYME
437,Valeria Vásquez López,valeria.vasquez.lopez3@gmail.com,Masculino,1976-12-09,Sonsonate,Premium
459,José Morales Cruz,jose.morales.cruz4@gmail.com,nan,1940-10-19,Sta. Ana,vip
462,Lucía Vásquez Pérez,lucia.vasquez.perez0@seguro.sv,nan,1962-06-28,San Miguel,PYME
463,Sofía Santos Gómez,sofia.santos.gomez1@seguro.sv,Female,1988-10-08,sonsonate,vip
473,Carmen Ortiz Morales,carmen.ortiz.morales4@correo.com,Hombre,1985-04-11,L. Libertad,REGULAR
474,Fernanda Reyes Vásquez,fernanda.reyes.vasquez5@seguro.sv,femenino,1976-12-28,Santa Ana,nan
484,Ricardo Santos Martínez,ricardo.santos.martinez1@mail.com,nan,1989-03-05,la libertad,Premium
485,Ricardo Ortiz Ramírez,ricardo.ortiz.ramirez2@gmail.com,Masculino,1983-10-08,Sonsonate,PREMIUM
490,Ricardo López Reyes,ricardo.lopez.reyes0@correo.com,Masculino,1958-10-01,Sonso,nan
491,Ricardo Torres Pérez,ricardo.torres.perez1@mail.com,nan,2002-05-11,Sonsonate,Regular
494,Ricardo Torres Ortiz,ricardo.torres.ortiz4@gmail.com,nan,1947-11-24,San Salvador,PREMIUM
497,Luis Reyes Morales,luis.reyes.morales0@seguro.sv,Hombre,1998-12-08,SantaAna,PREMIUM
498,Jorge Pérez Rojas,jorge.perez.rojas1@example.com,nan,1968-01-10,santa ana,Premium
502,Ana Torres Torres,ana.torres.torres5@gmail.com,Masculino,1963-12-10,santa ana,VIP
506,Juan Torres Morales,juan.torres.morales2@gmail.com,Mujer,2004-08-11,Sonsonate,VIP
507,Daniela Hernández Chávez,daniela.hernandez.chavez3@mail.com,Masculino,1980-12-27,Sonsonate,VIP
512,José García Hernández,jose.garcia.hernandez1@example.com,M,2003-05-11,La Libertad,nan
513,Carmen Morales Ortiz,carmen.morales.ortiz2@correo.com,femenino,1974-02-22,santa ana,Premium
516,Sofía Santos Aguilar,sofia.santos.aguilar5@mail.com,Mujer,1980-09-15,San salvador,nan
522,María Aguilar Torres,maria.aguilar.torres4@example.com,nan,2010-09-17,S. Miguel,nan
530,Marta Morales Ortiz,marta.morales.ortiz5@seguro.sv,Fem,1954-11-21,SS,REGULAR
535,María Reyes Chávez,maria.reyes.chavez3@example.com,F,1944-02-20,san miguel,REGULAR
537,Valeria Hernández López,valeria.hernandez.lopez5@mail.com,Masculino,1995-11-20,San Miguel,REGULAR
538,Valeria Pérez Castillo,valeria.perez.castillo6@mail.com,Female,1991-07-03,San Miguel,PYME
544,Jorge Pérez Mendoza,jorge.perez.mendoza5@mail.com,femenino,1949-03-26,SS,nan
547,María Santos Aguilar,maria.santos.aguilar1@seguro.sv,femenino,1950-04-04,SanSalvador,Premium
550,Lucía Torres Santos,lucia.torres.santos4@example.com,Female,1980-02-12,SanMiguel,REGULAR
555,Ricardo Rojas Pérez,ricardo.rojas.perez2@seguro.sv,nan,1947-08-06,La Libertad,Premium
566,Ricardo Rojas Morales,ricardo.rojas.morales6@correo.com,Masculino,1961-05-07,San Miguel,Regular
567,José Martínez Gómez,jose.martinez.gomez0@example.com,nan,1981-08-17,SantaAna,Pyme
570,José Flores Santos,jose.flores.santos3@correo.com,m,1975-02-03,Santa Ana,REGULAR
573,Karla Ramírez Torres,karla.ramirez.torres6@mail.com,M,1997-03-30,SantaAna,nan
580,Diego López Morales,diego.lopez.morales6@seguro.sv,M,2001-11-01,Sonso,REGULAR
581,Carlos Morales Martínez,carlos.morales.martinez0@mail.com,femenino,1996-09-21,San Miguel,PYME
584,Diego Aguilar Morales,diego.aguilar.morales3@example.com,nan,1945-08-26,La Libertad,VIP
598,Carmen López Aguilar,carmen.lopez.aguilar3@correo.com,nan,1986-03-12,Sonso,Pyme
603,Carlos Torres Gómez,carlos.torres.gomez1@gmail.com,Fem,2010-10-31,sonsonate,vip
605,Marta Rojas Santos,marta.rojas.santos3@gmail.com,Fem,1959-12-14,SanSalvador,VIP
610,Juan Castillo Rojas,juan.castillo.rojas1@gmail.com,Hombre,2007-07-18,Santa Ana,nan
619,Marta Rojas Santos,marta.rojas.santos3@example.com,nan,1970-10-02,Sonsonate,PYME
626,Paula Reyes Hernández,paula.reyes.hernandez3@mail.com,Fem,2005-08-21,SS,VIP
627,Lucía Torres Cruz,lucia.torres.cruz4@example.com,F,1980-01-04,Santa Ana,nan
637,Andrés Flores Aguilar,andres.flores.aguilar0@example.com,Hombre,2002-04-14,SS,Premium
642,Sofía Pérez Mendoza,sofia.perez.mendoza5@gmail.com,Mujer,1959-11-02,Sonsonate,vip
647,Juan García Castillo,juan.garcia.castillo3@mail.com,M,1999-11-22,Santa Ana,PREMIUM
649,Karla Cruz Mendoza,karla.cruz.mendoza5@gmail.com,F,1991-02-27,santa ana,Regular
651,Paula Hernández Gómez,paula.hernandez.gomez0@seguro.sv,Masculino,1971-10-31,SantaAna,vip
656,José Gómez García,jose.gomez.garcia5@example.com,Masculino,1972-08-18,La Libertad,PREMIUM
660,Marta Pérez Castillo,marta.perez.castillo2@mail.com,m,1995-10-19,LaLibertad,PREMIUM
661,Carlos Aguilar Aguilar,carlos.aguilar.aguilar3@example.com,Hombre,1985-04-15,San Salvador,Pyme
675,Daniela Gómez Santos,daniela.gomez.santos3@seguro.sv,Female,1984-10-13,Sonsonate,nan
677,María Ramírez Rojas,maria.ramirez.rojas5@correo.com,Female,1963-12-12,SantaAna,PREMIUM
679,Juan Ramírez Gómez,juan.ramirez.gomez0@example.com,Female,1964-06-19,Santa Ana,PYME
681,Diego Hernández Santos,diego.hernandez.santos2@mail.com,Hombre,2005-11-22,Sonso,PYME
682,María Cruz Torres,maria.cruz.torres3@example.com,femenino,1950-12-20,la libertad,Pyme
685,Luis Vásquez Aguilar,luis.vasquez.aguilar6@example.com,F,2004-03-16,San Salvador,PREMIUM
690,Carmen Chávez Pérez,carmen.chavez.perez4@example.com,femenino,1940-04-10,San Salvador,Premium
699,Sofía Morales Rojas,sofia.morales.rojas6@mail.com,M,2006-01-14,San Salvador,REGULAR
701,Lucía Castillo Morales,lucia.castillo.morales1@gmail.com,F,2000-03-21,Sta. Ana,Premium
707,José Vásquez García,jose.vasquez.garcia0@correo.com,Fem,1958-04-11,San Miguel,nan
714,Andrés Castillo Torres,andres.castillo.torres0@mail.com,femenino,1951-10-12,SantaAna,PYME
718,Daniela Rojas Castillo,daniela.rojas.castillo4@mail.com,F,1991-01-02,San Salvador,Pyme
749,Carlos Santos López,carlos.santos.lopez0@correo.com,Mujer,1980-08-26,Sonsonate,PREMIUM
754,Andrés Gómez Pérez,andres.gomez.perez5@seguro.sv,Fem,1985-05-17,Sonsonate,PREMIUM
764,Jorge Chávez García,jorge.chavez.garcia1@example.com,nan,2012-05-23,SanSalvador,VIP
771,Diego Ortiz Pérez,diego.ortiz.perez1@seguro.sv,M,1967-04-30,santa ana,REGULAR
773,Carlos Gómez López,carlos.gomez.lopez3@seguro.sv,Female,1945-05-25,SanMiguel,REGULAR
775,José Pérez Ortiz,jose.perez.ortiz5@correo.com,Mujer,1965-01-26,S. Miguel,Regular
777,Luis López Torres,luis.lopez.torres0@correo.com,nan,2030-01-22,LaLibertad,nan
782,Valeria Santos Mendoza,valeria.santos.mendoza5@correo.com,m,1984-04-26,Sonsonate,Premium
785,Andrés Flores Hernández,andres.flores.hernandez1@seguro.sv,femenino,2001-01-07,San salvador,VIP
789,Marta Martínez Reyes,marta.martinez.reyes5@mail.com,Mujer,1986-08-15,La Libertad,PYME
792,Lucía Morales Hernández,lucia.morales.hernandez1@correo.com,Mujer,1995-05-19,SanSalvador,Pyme
793,Paula Rojas Torres,paula.rojas.torres2@mail.com,nan,1995-07-21,San Miguel,PREMIUM
794,José Hernández López,jose.hernandez.lopez3@gmail.com,Masculino,1993-05-24,Santa Ana,Regular
796,Carlos Santos Rojas,carlos.santos.rojas5@example.com,Female,1986-01-13,sonsonate,Premium
797,Ricardo Castillo Torres,ricardo.castillo.torres6@mail.com,Hombre,1970-10-06,Santa Ana,PREMIUM
822,Juan Pérez Pérez,juan.perez.perez3@gmail.com,Mujer,1969-08-17,LaLibertad,PREMIUM
823,Lucía García Ortiz,lucia.garcia.ortiz4@mail.com,femenino,1974-09-01,L. Libertad,vip
826,Ana Gómez Reyes,ana.gomez.reyes0@mail.com,Fem,1976-11-10,LaLibertad,vip
827,Lucía Ramírez Pérez,lucia.ramirez.perez1@seguro.sv,Fem,1958-06-14,Sonso,nan
837,Valeria Pérez Chávez,valeria.perez.chavez4@mail.com,m,1972-02-15,SantaAna,VIP
861,Ana Hernández García,ana.hernandez.garcia0@seguro.sv,nan,1997-10-23,San Salvador,PREMIUM
865,Carmen Vásquez Gómez,carmen.vasquez.gomez4@seguro.sv,Fem,2003-03-01,SanSalvador,nan
868,Ricardo Aguilar Hernández,ricardo.aguilar.hernandez0@mail.com,m,1940-11-07,San Salvador,PREMIUM
873,Ana Vásquez Martínez,ana.vasquez.martinez5@seguro.sv,Masculino,2012-06-13,LaLibertad,nan
875,Daniela Santos Mendoza,daniela.santos.mendoza0@mail.com,Female,1942-11-06,la libertad,PYME
898,Fernanda Gómez Rojas,fernanda.gomez.rojas2@gmail.com,Female,2030-05-02,la libertad,nan
906,Jorge Aguilar Hernández,jorge.aguilar.hernandez3@gmail.com,Female,1987-06-15,San Miguel,vip
907,Juan Gómez Reyes,juan.gomez.reyes4@example.com,m,2007-06-15,Sonsonate,Pyme
911,Marta García García,marta.garcia.garcia1@mail.com,Fem,1946-11-18,San Salvador,Regular
913,Lucía López Torres,lucia.lopez.torres3@mail.com,nan,1957-01-22,san miguel,nan
916,José Castillo Castillo,jose.castillo.castillo6@correo.com,F,1983-05-06,la libertad,Regular
928,Lucía Martínez Flores,lucia.martinez.flores4@seguro.sv,F,1957-03-29,Santa Ana,VIP
933,Fernanda Pérez Reyes,fernanda.perez.reyes2@example.com,Mujer,1972-05-07,Sonso,PREMIUM
934,Valeria Ramírez Santos,valeria.ramirez.santos3@mail.com,Fem,1974-06-15,San Salvador,nan
936,Fernanda Pérez Martínez,fernanda.perez.martinez5@gmail.com,Female,1951-06-20,S. Miguel,PYME
939,Carmen Chávez Mendoza,carmen.chavez.mendoza1@seguro.sv,nan,1974-06-18,san miguel,Premium
961,Fernanda Aguilar Ortiz,fernanda.aguilar.ortiz2@seguro.sv,M,1988-02-08,La Libertad,nan
968,Lucía Rojas Chávez,lucia.rojas.chavez2@example.com,Mujer,1989-09-18,san miguel,Pyme
974,Juan Reyes García,juan.reyes.garcia1@example.com,nan,2030-06-25,Sta. Ana,Pyme
975,Pedro Pérez Hernández,pedro.perez.hernandez2@gmail.com,M,1969-09-21,Santa Ana,nan
977,Sofía Pérez Gómez,sofia.perez.gomez4@gmail.com,m,1985-01-01,SanMiguel,Premium
990,María Flores Morales,maria.flores.morales3@seguro.sv,nan,1947-05-01,Sta. Ana,Premium
997,Paula Rojas Rojas,paula.rojas.rojas3@gmail.com,nan,1971-07-22,San Miguel,Premium
1004,Andrés Cruz Ortiz,andres.cruz.ortiz3@seguro.sv,F,1975-02-10,la libertad,Pyme
1008,Pedro Gómez Cruz,pedro.gomez.cruz0@example.com,Masculino,1998-07-16,SantaAna,Regular
1012,Carmen Gómez Castillo,carmen.gomez.castillo4@gmail.com,m,1940-11-28,San Salvador,REGULAR
1016,Pedro Ortiz Castillo,pedro.ortiz.castillo1@seguro.sv,nan,1981-11-25,la libertad,Regular
1025,Ricardo Martínez Flores,ricardo.martinez.flores3@seguro.sv,Fem,1977-10-16,San Miguel,Pyme
1028,Valeria Reyes Vásquez,valeria.reyes.vasquez6@example.com,nan,1975-12-01,SanSalvador,Regular
1030,José Reyes Rojas,jose.reyes.rojas1@correo.com,femenino,1960-04-21,San Salvador,Regular
1040,María Vásquez Rojas,maria.vasquez.rojas4@gmail.com,nan,1959-01-09,San Miguel,PYME
1058,Juan Flores Pérez,juan.flores.perez1@gmail.com,m,1971-06-02,Santa Ana,Regular
1067,José Castillo Santos,jose.castillo.santos3@mail.com,M,1983-03-12,Sonsonate,PREMIUM
1072,Luis López Gómez,luis.lopez.gomez1@correo.com,Fem,1952-09-16,sonsonate,PYME
1079,Valeria Pérez Reyes,valeria.perez.reyes1@example.com,Mujer,1992-10-29,La Libertad,VIP
1081,José Gómez Morales,jose.gomez.morales3@mail.com,F,2007-10-22,San Miguel,VIP
1089,Carlos García Ortiz,carlos.garcia.ortiz4@gmail.com,Mujer,1991-08-14,SanMiguel,nan
1097,Diego Cruz García,diego.cruz.garcia5@seguro.sv,Hombre,1992-10-21,San Salvador,PREMIUM
1100,Sofía Aguilar Vásquez,sofia.aguilar.vasquez1@example.com,femenino,1959-10-06,san miguel,nan
1101,Valeria Reyes Ortiz,valeria.reyes.ortiz2@example.com,nan,1985-03-01,L. Libertad,vip
1111,Paula López Chávez,paula.lopez.chavez5@seguro.sv,m,1943-04-27,SantaAna,VIP
1115,Pedro Ortiz Martínez,pedro.ortiz.martinez2@mail.com,M,1993-11-17,La Libertad,nan
1118,Pedro Martínez Castillo,pedro.martinez.castillo5@mail.com,M,1953-06-18,Sta. Ana,nan
1124,Jorge Pérez Ortiz,jorge.perez.ortiz4@seguro.sv,m,1961-12-22,Santa Ana,Regular
1128,Fernanda Cruz Castillo,fernanda.cruz.castillo1@example.com,Mujer,1950-09-05,Sonsonate,VIP
1142,María Mendoza Ramírez,maria.mendoza.ramirez1@seguro.sv,Hombre,1940-04-14,santa ana,VIP
1147,Diego López Castillo,diego.lopez.castillo6@seguro.sv,F,1964-01-14,S. Miguel,REGULAR
1151,María Martínez Mendoza,maria.martinez.mendoza3@correo.com,Fem,1958-11-18,la libertad,Regular
1158,Daniela Cruz Morales,daniela.cruz.morales3@seguro.sv,femenino,1941-07-18,SanSalvador,PREMIUM
1159,Jorge López Morales,jorge.lopez.morales4@example.com,nan,2009-03-09,SS,REGULAR
1165,Sofía Chávez Hernández,sofia.chavez.hernandez3@seguro.sv,Fem,1943-07-03,la libertad,nan
1168,Ricardo Chávez Ramírez,ricardo.chavez.ramirez6@correo.com,Fem,1969-08-15,La Libertad,REGULAR
1176,Paula Rojas Aguilar,paula.rojas.aguilar0@mail.com,Masculino,1969-05-06,LaLibertad,Pyme
1188,Valeria Ortiz Vásquez,valeria.ortiz.vasquez5@gmail.com,M,1950-07-24,La Libertad,vip
1200,Lucía Santos López,lucia.santos.lopez3@example.com,Mujer,1954-09-18,Santa Ana,Premium
1212,José Torres Chávez,jose.torres.chavez1@seguro.sv,femenino,1985-01-15,San Miguel,Premium
1213,Andrés Ortiz Morales,andres.ortiz.morales2@mail.com,femenino,2000-07-13,san miguel,nan
1215,Karla Vásquez Flores,karla.vasquez.flores4@example.com,F,1978-03-11,san miguel,Regular
1219,Juan Pérez Torres,juan.perez.torres1@mail.com,nan,2004-12-07,SS,Regular
1224,José Cruz Cruz,jose.cruz.cruz6@correo.com,M,1941-08-15,San Miguel,PYME
1226,Pedro Chávez Pérez,pedro.chavez.perez1@seguro.sv,Masculino,1981-06-11,SantaAna,Regular
1228,Carlos Castillo Reyes,carlos.castillo.reyes3@mail.com,Fem,1980-07-03,sonsonate,nan
1229,Pedro Santos Rojas,pedro.santos.rojas4@mail.com,Female,1977-04-07,la libertad,Pyme
1235,Andrés Rojas Ramírez,andres.rojas.ramirez3@correo.com,Fem,1997-02-04,Sonsonate,vip
1236,Karla Santos Rojas,karla.santos.rojas4@correo.com,Fem,1942-01-18,La Libertad,REGULAR
1238,Ricardo Ramírez Reyes,ricardo.ramirez.reyes6@mail.com,Masculino,1951-11-25,LaLibertad,PREMIUM
1251,María Reyes Cruz,maria.reyes.cruz5@correo.com,Female,1967-10-01,San salvador,REGULAR
1259,Ana Flores Rojas,ana.flores.rojas6@correo.com,femenino,1993-12-13,La Libertad,Regular
1263,Marta Mendoza Aguilar,marta.mendoza.aguilar3@gmail.com,Masculino,1949-03-26,Sta. Ana,Premium
1264,Sofía Morales Gómez,sofia.morales.gomez4@correo.com,femenino,1954-03-03,La Libertad,Pyme
1268,Marta Rojas Morales,marta.rojas.morales1@correo.com,Masculino,1969-03-21,Sonsonate,Regular
1272,Carlos Santos Ramírez,carlos.santos.ramirez5@correo.com,femenino,1990-05-28,Sonso,nan
1275,Luis Hernández Rojas,luis.hernandez.rojas1@seguro.sv,F,1978-05-03,San Salvador,REGULAR
1282,Carlos Gómez Hernández,carlos.gomez.hernandez1@mail.com,Fem,1942-05-09,San Miguel,REGULAR
1285,Sofía Ramírez Morales,sofia.ramirez.morales4@mail.com,Fem,1992-12-13,Sonsonate,vip
1292,Carmen López Aguilar,carmen.lopez.aguilar4@example.com,Female,1958-04-23,San Miguel,VIP
1306,Luis Cruz López,luis.cruz.lopez4@example.com,Hombre,1957-10-28,Santa Ana,nan
1314,José Torres Aguilar,jose.torres.aguilar5@example.com,M,1960-10-30,Sonsonate,Premium
1317,Andrés Martínez Hernández,andres.martinez.hernandez1@example.com,Female,2009-01-27,SanMiguel,Regular
1318,Pedro García López,pedro.garcia.lopez2@seguro.sv,Masculino,1949-01-26,la libertad,nan
1319,Andrés Flores Hernández,andres.flores.hernandez3@seguro.sv,Hombre,2010-01-22,Sonsonate,nan
1325,Lucía Vásquez Gómez,lucia.vasquez.gomez2@example.com,femenino,1984-11-03,sonsonate,REGULAR
1328,Sofía Santos Castillo,sofia.santos.castillo5@gmail.com,Female,1985-05-28,sonsonate,Pyme
1330,Fernanda Vásquez Morales,fernanda.vasquez.morales0@mail.com,Female,1951-12-08,Sonsonate,REGULAR
1332,Diego Chávez Ramírez,diego.chavez.ramirez2@correo.com,F,1953-01-15,LaLibertad,Pyme
1334,Pedro Flores Rojas,pedro.flores.rojas4@correo.com,femenino,1973-03-19,San Miguel,Premium
1335,Marta Cruz Ortiz,marta.cruz.ortiz5@gmail.com,nan,1991-12-10,San Miguel,nan
1338,María Vásquez García,maria.vasquez.garcia1@example.com,F,2004-06-28,LaLibertad,Premium
1341,Karla García Mendoza,karla.garcia.mendoza4@correo.com,Masculino,1977-02-11,santa ana,VIP
1348,Carmen Chávez Gómez,carmen.chavez.gomez4@seguro.sv,F,1985-07-07,San Salvador,vip
1352,Ricardo Santos Hernández,ricardo.santos.hernandez1@example.com,Hombre,1986-08-21,Sonsonate,nan
1360,Juan Pérez Pérez,juan.perez.perez2@example.com,nan,1993-09-18,san miguel,Regular
1366,María Cruz Rojas,maria.cruz.rojas1@correo.com,nan,1995-03-15,San Salvador,PREMIUM
1369,Marta Chávez López,marta.chavez.lopez4@correo.com,Mujer,1979-07-10,San Miguel,Premium
